NAME                                                                      IMAGE REFERENCE
sha256:224d4d18fd228828d6eb624cb9d9c36cdf32d211a00a6db20f3efe2d3124f69f   registry.redhat.io/ubi8/nginx-118@sha256:224d4d18fd228828d6eb624cb9d9c36cdf32d211a00a6db20f3efe2d3124f69f
sha256:22dcfc1707135f4e67616b10129e9eb75793be7424740d49d16a7cfd21cab46c   quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:22dcfc1707135f4e67616b10129e9eb75793be7424740d49d16a7cfd21cab46c
sha256:230cd475733320b85bef99f7634b0f73ba82e323865d1e46be6d76fe03c337e8   registry.redhat.io/fuse7/fuse-eap-openshift@sha256:230cd475733320b85bef99f7634b0f73ba82e323865d1e46be6d76fe03c337e8
sha256:2328593e79f55c0660ecec42e588ca811c9011dce69e6b81486f6dad538ef7ee   registry.redhat.io/jboss-eap-6/eap64-openshift@sha256:2328593e79f55c0660ecec42e588ca811c9011dce69e6b81486f6dad538ef7ee
sha256:2430c0082389573b6dbdb5b7f8b8900186f36e1163ed2a506e7fc547d6ba8fb3   registry.redhat.io/jboss-eap-6/eap64-openshift@sha256:2430c0082389573b6dbdb5b7f8b8900186f36e1163ed2a506e7fc547d6ba8fb3
sha256:260bb829fca92a5ad59771c979167fc7d6a0607778babb6ff989d1336994e47e   registry.redhat.io/rhscl/postgresql-12-rhel7@sha256:260bb829fca92a5ad59771c979167fc7d6a0607778babb6ff989d1336994e47e
sha256:26700c6cb5f43fa8061cee274caef5561646995a0e7d803273f394d9cdda1391   registry.redhat.io/3scale-amp2/apicast-gateway-rhel7@sha256:26700c6cb5f43fa8061cee274caef5561646995a0e7d803273f394d9cdda1391
sha256:267bcd308156b848bbae5e3f255b014d2fff4186a535a543c69070beb47635ab   registry.redhat.io/rhscl/python-38-rhel7@sha256:267bcd308156b848bbae5e3f255b014d2fff4186a535a543c69070beb47635ab
sha256:2798e77f84b770fc5afef8828220881f7f336bf2c05029b309e60bc3701db570   registry.redhat.io/fuse7/fuse-apicurito@sha256:2798e77f84b770fc5afef8828220881f7f336bf2c05029b309e60bc3701db570
sha256:29b20393dd39e208ea0a9a466a8aead65755541ed4526b71c09c3a44fa2a5a85   registry.redhat.io/jboss-datavirt-6/datavirt64-driver-openshift@sha256:29b20393dd39e208ea0a9a466a8aead65755541ed4526b71c09c3a44fa2a5a85
sha256:29d831cb1f5fe839ab6e8c59d57f695094938a9f97e071bdbc854e54a90ecb94   registry.redhat.io/fuse7/fuse-java-openshift@sha256:29d831cb1f5fe839ab6e8c59d57f695094938a9f97e071bdbc854e54a90ecb94
sha256:2c7e706dcdd4829542d5a936b2a086ab7f3bb957182b4d8e0908e1e8dd54de14   registry.redhat.io/ubi8/php-74@sha256:2c7e706dcdd4829542d5a936b2a086ab7f3bb957182b4d8e0908e1e8dd54de14
sha256:2c8b330eccf3812934ddd44a58deeb469c716720d6b00ceb11b734650be1d126   quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2c8b330eccf3812934ddd44a58deeb469c716720d6b00ceb11b734650be1d126
sha256:2cd3ef15bd95ae2a747b5700ff8e2e852828b9cce54231d6545ec30fa559e371   registry.redhat.io/rhpam-7/rhpam-smartrouter-rhel8@sha256:2cd3ef15bd95ae2a747b5700ff8e2e852828b9cce54231d6545ec30fa559e371
sha256:2d3caef4ab25f47ce3475e15c31be7cb7112438824013a0a4a576f641b92583e   registry.redhat.io/ubi8/python-27@sha256:2d3caef4ab25f47ce3475e15c31be7cb7112438824013a0a4a576f641b92583e
sha256:2fcea3fcc642cee9e31184e83dbcd4402d6a02710a4ad882669c6db164e4df73   registry.redhat.io/jboss-eap-7/eap70-openshift@sha256:2fcea3fcc642cee9e31184e83dbcd4402d6a02710a4ad882669c6db164e4df73
sha256:2fff1fedd4551c29925066081c22233bce92726e72c25709cc042aa6dc0160a3   registry.redhat.io/jboss-datagrid-6/datagrid65-client-openshift@sha256:2fff1fedd4551c29925066081c22233bce92726e72c25709cc042aa6dc0160a3
sha256:313df5722ddd866d43758af161e5932dfd4648b99a5c57acfddfc2a955669fe8   registry.redhat.io/3scale-amp21/apicast-gateway@sha256:313df5722ddd866d43758af161e5932dfd4648b99a5c57acfddfc2a955669fe8
sha256:317233a45564571f568e6ca49eeffe2ebeb47fcf32755db988ede7421c315205   registry.redhat.io/fuse7/fuse-console@sha256:317233a45564571f568e6ca49eeffe2ebeb47fcf32755db988ede7421c315205
sha256:33944fd21e0b2fa1e5d3bc3bd67cb0d1cb45fbdad43d49614fdc364a13ce3093   registry.redhat.io/jboss-amq-6/amq62-openshift@sha256:33944fd21e0b2fa1e5d3bc3bd67cb0d1cb45fbdad43d49614fdc364a13ce3093
sha256:3507807174ee74f14c89e0e4906ddff0e8d58080e33d500a9582a1cd8bf0683b   registry.redhat.io/jboss-fuse-6/fis-karaf-openshift@sha256:3507807174ee74f14c89e0e4906ddff0e8d58080e33d500a9582a1cd8bf0683b
sha256:356d2e1a04c3a019fdf1d7df05ea3dfea3bb4f24ee5b5c2a58338514e1a79ddf   registry.redhat.io/redhat-sso-7/sso72-openshift@sha256:356d2e1a04c3a019fdf1d7df05ea3dfea3bb4f24ee5b5c2a58338514e1a79ddf
sha256:35ebf58045d740f1c9082c71e1a581fa093881fbe5d88f7da149d46034625757   registry.redhat.io/ubi8/php-73@sha256:35ebf58045d740f1c9082c71e1a581fa093881fbe5d88f7da149d46034625757
sha256:366784914bf4bac2eb7983a2c761df8045e8e82de64510713b915b15d97287a1   registry.redhat.io/jboss-eap-7-tech-preview/eap-cd-openshift@sha256:366784914bf4bac2eb7983a2c761df8045e8e82de64510713b915b15d97287a1
sha256:368be35d5095852e88a5fb5fb9654d37792a02788292a469d87ab5e07b1ce09a   registry.access.redhat.com/ubi8/dotnet-31@sha256:368be35d5095852e88a5fb5fb9654d37792a02788292a469d87ab5e07b1ce09a
sha256:37669cde912f76ec4cad537dca589252b614875bcd0bd2bd676220bdbedee983   quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:37669cde912f76ec4cad537dca589252b614875bcd0bd2bd676220bdbedee983
sha256:379488d85ba5d75246bd371424ac130f97fa63a69520745b2b9007fc4354a0f9   registry.redhat.io/dotnet/dotnet-31-runtime-rhel7@sha256:379488d85ba5d75246bd371424ac130f97fa63a69520745b2b9007fc4354a0f9
sha256:385ae950145cfba548897f5b45bb13add6ba927e75752955c10e4324cfb1a18b   quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:385ae950145cfba548897f5b45bb13add6ba927e75752955c10e4324cfb1a18b
sha256:38c4fdce490342b8b36f7dbd4b07f5e2c7ab488b66de89afe83f5b5446f3ce55   registry.redhat.io/jboss-webserver-5/webserver54-openjdk11-tomcat9-openshift-rhel8@sha256:38c4fdce490342b8b36f7dbd4b07f5e2c7ab488b66de89afe83f5b5446f3ce55
